Code INSEE,Nom de la commune,Code postal,ID Magasin,Magasin attribué,Département,Région
11031,BELFORT SUR REBENTY,11140,102,ALUMI'9,Aude,Occitanie
11038,BESSEDE DE SAULT,11140,102,ALUMI'9,Aude,Occitanie
11062,CAMPAGNA DE SAULT,11140,102,ALUMI'9,Aude,Occitanie
11093,LE CLAT,11140,102,ALUMI'9,Aude,Occitanie
11127,ESCOULOUBRE,11140,102,ALUMI'9,Aude,Occitanie
11135,LA FAJOLLE,11140,102,ALUMI'9,Aude,Occitanie
11147,FONTANES DE SAULT,11140,102,ALUMI'9,Aude,Occitanie
11160,GALINAGUES,11140,102,ALUMI'9,Aude,Occitanie
11177,JOUCOU,11140,102,ALUMI'9,Aude,Occitanie
11219,MARSA,11140,102,ALUMI'9,Aude,Occitanie
11229,MAZUBY,11140,102,ALUMI'9,Aude,Occitanie
11230,MERIAL,11140,102,ALUMI'9,Aude,Occitanie
11265,NIORT DE SAULT,11140,102,ALUMI'9,Aude,Occitanie
11317,RODOME,11140,102,ALUMI'9,Aude,Occitanie
11091,CHALABRE,11230,102,ALUMI'9,Aude,Occitanie
11303,PUIVERT,11230,102,ALUMI'9,Aude,Occitanie
11316,RIVEL,11230,102,ALUMI'9,Aude,Occitanie
11336,STE COLOMBE SUR L HERS,11230,102,ALUMI'9,Aude,Occitanie
11380,SONNAC SUR L HERS,11230,102,ALUMI'9,Aude,Occitanie
11400,TREZIERS,11230,102,ALUMI'9,Aude,Occitanie
11424,VILLEFORT,11230,102,ALUMI'9,Aude,Occitanie
11291,PLAVILLA,11270,102,ALUMI'9,Aude,Occitanie
11028,BELCAIRE,11340,102,ALUMI'9,Aude,Occitanie
11036,BELVIS,11340,102,ALUMI'9,Aude,Occitanie
11066,CAMURAC,11340,102,ALUMI'9,Aude,Occitanie
11096,COMUS,11340,102,ALUMI'9,Aude,Occitanie
11130,ESPEZEL,11340,102,ALUMI'9,Aude,Occitanie
11320,ROQUEFEUIL,11340,102,ALUMI'9,Aude,Occitanie
11134,FAJAC LA RELENQUE,11410,102,ALUMI'9,Aude,Occitanie
11208,LA LOUVIERE LAURAGAIS,11410,102,ALUMI'9,Aude,Occitanie
11218,MARQUEIN,11410,102,ALUMI'9,Aude,Occitanie
11231,MEZERVILLE,11410,102,ALUMI'9,Aude,Occitanie
11334,STE CAMELLE,11410,102,ALUMI'9,Aude,Occitanie
11371,SALLES SUR L HERS,11410,102,ALUMI'9,Aude,Occitanie
11033,BELPECH,11420,102,ALUMI'9,Aude,Occitanie
11057,CAHUZAC,11420,102,ALUMI'9,Aude,Occitanie
11184,LAFAGE,11420,102,ALUMI'9,Aude,Occitanie
11226,MAYREVILLE,11420,102,ALUMI'9,Aude,Occitanie
11236,MOLANDIER,11420,102,ALUMI'9,Aude,Occitanie
11277,PECHARIC ET LE PY,11420,102,ALUMI'9,Aude,Occitanie
11278,PECH LUNA,11420,102,ALUMI'9,Aude,Occitanie
11283,PEYREFITTE SUR L HERS,11420,102,ALUMI'9,Aude,Occitanie
11290,PLAIGNE,11420,102,ALUMI'9,Aude,Occitanie
11365,ST SERNIN,11420,102,ALUMI'9,Aude,Occitanie
11419,VILLAUTOU,11420,102,ALUMI'9,Aude,Occitanie
11101,COUDONS,11500,102,ALUMI'9,Aude,Occitanie
11263,NEBIAS,11500,102,ALUMI'9,Aude,Occitanie
31362,MONTBERAUD,31220,102,ALUMI'9,Haute-Garonne,Occitanie
31425,LE PLAN,31220,102,ALUMI'9,Haute-Garonne,Occitanie
31047,BAX,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31103,CANENS,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31111,CASTAGNAC,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31225,GOUTEVERNISSE,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31226,GOUZENS,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31267,LAHITERE,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31272,LAPEYRERE,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31279,LATOUR,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31280,LATRAPE,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31312,MAILHOLAS,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31326,MASSABRAC,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31365,MONTBRUN BOCAGE,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31375,MONTESQUIEU VOLVESTRE,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31474,ST CHRISTAUD,31310,102,ALUMI'9,Haute-Garonne,Occitanie
31206,GAILLAC TOULZA,31550,102,ALUMI'9,Haute-Garonne,Occitanie
31319,MARLIAC,31550,102,ALUMI'9,Haute-Garonne,Occitanie
31100,CALMONT,31560,102,ALUMI'9,Haute-Garonne,Occitanie
,VERDUN,55100,102,ALUMI'9,Ariège,Occitanie
